mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,Bminor_count,BMajor_count,Cminor_count,F#/GbMajor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,D#_Ebminor_count
ESTP,SP,; ryann,5DDwiL9nsdsPgQd1WlibLQ,50,0.5378000000000001,0.1277432054185749,0.581908,0.2106460972865171,-7.7438,3.153298590365334,0.72,0.4535573676110727,0.054494,0.0365120578909018,0.242407316,0.3104296461564017,0.156974,0.1084866056060303,0.425534,0.2385914496389514,125.29414,28.436845424095083,0.0223278549999999,0.1022989718053965,7.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0
ESTP,SP,15,3OcLE0OVKh7NpfmvCFfjCr,50,0.65498,0.1137915189982028,0.68888,0.1732605257867999,-5.2244600000000005,2.84045215723677,0.52,0.5046720495044485,0.0672079999999999,0.0493373346235394,0.2323198,0.1918184410756533,0.155734,0.0929746566521858,0.5981,0.197147334317691,121.83262,30.53058017984524,0.0148178828,0.0663922761530505,3.0,1.0,8.0,2.0,4.0,0.0,2.0,1.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,0.0,2.0,1.0
ESTP,SP,estp and entp friendship is legendary,5MLd2yOZhZ9UA19VFvdsBG,50,0.6852199999999999,0.1575837050003351,0.7512400000000001,0.1530934835121258,-5.4338,2.0499258722287137,0.58,0.4985693819032897,0.1308839999999999,0.0997564060855343,0.10387518,0.1540332654741838,0.186156,0.1417694206686854,0.59306,0.2019266799648641,123.24072,25.29845145865087,0.0131773239999999,0.0677082484783332,3.0,3.0,7.0,0.0,7.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0
ESTP,SP,Ametsuchi Satomi (jjk oc),28zYLgpJ7AgCf00PjwMxh7,50,0.64236,0.11494928074093,0.7021,0.1525265115797705,-6.40014,2.633471643737093,0.44,0.5014265364224069,0.0944819999999999,0.0761026205400394,0.1342048699999999,0.2054176492214826,0.2022159999999999,0.1499786125704976,0.46753,0.2054619943504126,122.87872,22.60072129338408,0.0676235328,0.2037141004320507,3.0,3.0,6.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,1.0,2.0,4.0,0.0,1.0
ESTP,SP,ESTP songs 💛😎,6tEWO1GAmsHYk4T7RWTKPb,50,0.6565799999999998,0.1754896461856577,0.7374399999999999,0.1632439216607579,-5.211379999999999,2.014900320520262,0.52,0.5046720495044484,0.10244,0.090913616770458,0.088376048,0.1476626410788059,0.213534,0.1766742449266676,0.551152,0.2467979552391066,125.78306,27.784587098260367,0.019365919,0.130033461533143,3.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,6.0,0.0,2.0,3.0,2.0,6.0,2.0,0.0,2.0,3.0,3.0,2.0,1.0
ESTP,SP,babygirl coded male manipulator,1sdU9wk5AlQJNNxoWDT4o2,50,0.6420599999999999,0.1283519412253921,0.75702,0.1560812831148421,-6.16508,2.616231078229497,0.38,0.4903143514780145,0.066424,0.0510335406315077,0.106080328,0.1881090600189362,0.208384,0.1665530991630486,0.5756,0.2257882338179123,127.39262,21.53799608654625,0.0562346218,0.1684615145837361,2.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,4.0,0.0,6.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0
ESTP,SP,ESTP,0xTudPDgufRzmn6CapHABt,5,0.6952,0.0836163859539504,0.8744,0.0405622977652893,-2.8734,1.4041482471591096,0.4,0.5477225575051662,0.10244,0.0594290585488277,0.141756,0.175776583565616,0.16956,0.1293430438794448,0.5568,0.1681924492954425,109.5012,13.825656863238,2.086e-06,3.143148103414792e-06,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTP,SP,ESTP,5Vl6cvpceflvfIDhBp2A5D,23,0.6919565217391304,0.1693483441314943,0.6704782608695652,0.1448324642051879,-5.834304347826087,1.860008539442338,0.4782608695652174,0.5107539184552492,0.101395652173913,0.0760103968861011,0.1361997826086956,0.1449528049720624,0.2019304347826087,0.1335563974669421,0.5091739130434781,0.2127958159563706,121.28817391304348,27.765307466254576,0.0126449465217391,0.0316420586019358,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0
ESTP,SP,8w7 ESTP,0FYHN34EWFRxXqoM5vbZ1i,50,0.585,0.1323976693795735,0.7870600000000002,0.1417543736502672,-5.5391,2.24567777369446,0.54,0.5034574339058886,0.073028,0.0566095255559827,0.090035466,0.1483997577039823,0.1901359999999999,0.1596056642644806,0.57636,0.2097036548492726,128.7303,28.163030446466014,0.0329131791999999,0.1381970107282206,5.0,1.0,1.0,0.0,4.0,0.0,7.0,2.0,1.0,4.0,2.0,3.0,0.0,5.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
ESTP,SP,ENTP Vibe,4lh9CEAC9u2LEcvMRbQO56,50,0.62902,0.1617294907036602,0.7299000000000001,0.1534833966956181,-5.860900000000002,2.647057536594325,0.62,0.4903143514780145,0.117464,0.1106705070311445,0.12776888,0.1495920673135048,0.227386,0.2029212102149551,0.5030779999999999,0.2068127273646378,120.21386,27.540702549106616,0.0763710294,0.2098179371059464,4.0,3.0,2.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,8.0,2.0,5.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
