mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,Gminor_count,G#/Abminor_count,Aminor_count,Dminor_count
ISTJ,SJ,Lawrence Aubert,0YqDyB4Aqc7k62M5zEaK7N,50,0.54562,0.149965559311436,0.4947999999999999,0.2136722647764418,-9.08286,4.205672190249347,0.7,0.4629100498862757,0.055938,0.0369097569645706,0.5038989,0.3590647324040867,0.181756,0.1317503795603098,0.38297,0.2193548381048387,121.68923999999998,29.62279343547493,0.0677328642,0.1745305937675187,0.0,5.0,1.0,4.0,5.0,0.0,3.0,3.0,3.0,0.0,1.0,4.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0
ISTJ,SJ,luís,4RXEAWGDQ8ZBAYuth3HMfF,37,0.5646756756756757,0.1397281197449083,0.471,0.1674342325279457,-7.913432432432431,2.522384019363654,0.4594594594594595,0.5052279240652235,0.0547621621621621,0.0382542252666388,0.4299932432432432,0.2869648493191191,0.1561108108108108,0.0961517890969614,0.3446054054054054,0.2115418988521422,118.81305405405404,27.29895551516979,0.0277830097297297,0.1390347188839691,2.0,3.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0
ISTJ,SJ,farnese | character playlist,1ZPcR2HzrkuAKjfE8gLnwB,26,0.4651923076923077,0.1495170944690323,0.668673076923077,0.2239252974680481,-7.719884615384615,4.144786057947242,0.5769230769230769,0.5038314736557788,0.0409692307692307,0.0105884378160621,0.1981327692307692,0.3108946340126581,0.1919923076923076,0.1430190754356269,0.4233999999999999,0.2564098859248606,133.8951923076923,40.030274916886825,0.1992731542307692,0.3142580851257137,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0
ISTJ,SJ,ISTJ Playlist,0mu7HBWsVlYIoeGfBfIqEo,26,0.5214615384615385,0.1608505469730783,0.5228846153846154,0.2183348486931167,-8.903346153846154,3.3783341213362275,0.8846153846153846,0.325812593608421,0.0473115384615384,0.0250189580426216,0.3970616538461539,0.3262940564716363,0.15675,0.1131045542849623,0.3602230769230769,0.2308263872397474,118.53430769230768,33.90816160014486,0.0555991492307692,0.1985668834760056,0.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
ISTJ,SJ,ISTJ,2JPXYppJXYtuOhiXY0msQj,32,0.59153125,0.183999120680753,0.55925,0.2083314666583039,-7.679500000000001,3.486924488298646,0.5625,0.5040161287741853,0.064025,0.0519431078355242,0.35571090625,0.325572940197526,0.225409375,0.1608856904548852,0.46540625,0.2198830861448434,121.3906875,30.41756432682625,0.0377885999999999,0.1049503407543708,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
ISTJ,SJ,istj (03),1DHceZKRQamtyxjK8l2Pma,32,0.54903125,0.1615646249158322,0.45496875,0.1954652818566262,-8.2378125,2.5153409880750406,0.78125,0.4200134406451544,0.043415625,0.0210132847284912,0.501316875,0.2953721280278927,0.14219375,0.076700313064508,0.3757812499999999,0.1988724237480384,111.34728125,27.712355041580366,0.005766915625,0.01992360872337,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,8.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0
ISTJ,SJ,one song for each mbti | classical,0NObHzrSiLXhHQY7E07VdF,16,0.27625,0.1127679032349187,0.1572124999999999,0.1060036846843856,-19.74275,7.1445164846895,0.375,0.5,0.04355,0.0242951847080856,0.8785624999999999,0.1400166507955393,0.1308625,0.0852618701413474,0.2090375,0.2116333807161179,106.9456875,46.95799178658694,0.681806709375,0.3880557130854427,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
ISTJ,SJ,ɪʀᴇɴᴇ ,1lLiTlwFCo6DoZu4Vis3Ju,32,0.68815625,0.1302887882619766,0.7179375,0.1284256876877228,-5.621875,2.0213990803241906,0.28125,0.4568034093991743,0.11424375,0.0873272375109296,0.1277218749999999,0.1738569763031504,0.215109375,0.1979240736786009,0.52653125,0.1819152557710817,119.40975,28.6018592154539,0.0048671909375,0.0243480402185487,0.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0
ISTJ,SJ,blue jays,5WWBNQwIvtmGpEnhXP9Dzl,16,0.5371250000000001,0.1601328094634783,0.5048125,0.2186306531573283,-8.5938125,3.2623095544669987,0.875,0.3415650255319866,0.05433125,0.0353590293748758,0.50246875,0.2809822929622672,0.1597812499999999,0.0910928260530615,0.36409375,0.2275640729369789,112.007875,32.13765235540186,0.0395704187499999,0.1416463321071661,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
ISTJ,SJ,ya ( an istj playlist),7gvCkzwOrJ8964M5KPPMrB,50,0.5893400000000001,0.1739687527654765,0.6893400000000001,0.1866825975952176,-6.277839999999999,2.5464639858086366,0.64,0.484873221385061,0.073042,0.0662491003866529,0.203412008,0.2447964398187561,0.1693399999999999,0.1155732067671784,0.499274,0.2155347945867465,125.41404,30.7255015421844,0.0480121782,0.1298887991259926,2.0,5.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,4.0,1.0,5.0,0.0,4.0,5.0,0.0,1.0,1.0,1.0,2.0,1.0
