mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,D#_Ebminor_count,Dminor_count
ENTP,NT,Entp,0WFUq195ruif7tr8fZCXGG,50,0.68896,0.1425175907509995,0.7221,0.1496255530397431,-6.30524,3.058091105008255,0.52,0.5046720495044485,0.0897,0.071183576986922,0.12190234,0.1652121152189722,0.186328,0.1386339550244249,0.6507999999999999,0.2334968426129228,123.00164,25.343603649627013,0.0594344212,0.1775264033347894,3.0,5.0,1.0,4.0,2.0,0.0,4.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0
ENTP,NT,Entplatonisiert,1BLNEuWLBjNppnzW7SRDTf,39,0.588948717948718,0.133963849938774,0.6076923076923075,0.1644293407429647,-8.912384615384614,3.150151146042834,0.4102564102564102,0.4983102351129801,0.0613461538461538,0.0728727111084217,0.2203147948717948,0.2243369120255677,0.1831589743589743,0.1460696205994877,0.5260153846153846,0.2638155032538554,128.42589743589744,28.960266371444053,0.2127941717948718,0.3111485116998486,1.0,3.0,3.0,5.0,2.0,0.0,3.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0
ENTP,NT,raging estp / entp,1D2xEzvk5fnnyXdUzhZyxt,50,0.6536600000000001,0.1331383521616762,0.7244000000000002,0.1563615642525688,-5.56382,2.327089481892498,0.54,0.5034574339058886,0.1086739999999999,0.1105893042213543,0.11414222,0.1525269817588377,0.2093279999999999,0.1626796627405766,0.62086,0.1987046839623349,128.30246,27.72740169845251,0.0202519985999999,0.0732239089048487,1.0,4.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,4.0,0.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0
ENTP,NT,entp & intj,68VnXmAXNGCOQ6Foq3Sl0t,50,0.60146,0.1130773998964733,0.63332,0.1556274253150905,-6.739899999999999,2.4771412856314017,0.88,0.328260722659316,0.055222,0.0317995847104188,0.20436746,0.2726248647832589,0.148286,0.0960869015898777,0.4744,0.2194559841507901,120.82158,28.917450889780337,0.0211224284,0.1148352374019596,0.0,5.0,1.0,2.0,7.0,1.0,1.0,5.0,0.0,6.0,1.0,0.0,6.0,0.0,5.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0
ENTP,NT,Enfp and Entp songs because their chaotic.,7GBXbU8o60Lu6OYlhOq7K4,50,0.5740999999999999,0.1566525141964904,0.6508799999999999,0.2072510692717548,-8.004159999999999,3.316678873419577,0.62,0.4903143514780145,0.085052,0.095525391944354,0.2172796079999999,0.26827456437339,0.197424,0.1675601671529559,0.54564,0.2088099184445421,126.9598,30.93499777248536,0.0750925796,0.197409729890316,0.0,6.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,5.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0
ENTP,NT,ENTP,1sP7oDckexsu61LHyr1G2O,35,0.6295999999999999,0.144320354440676,0.6408571428571429,0.1614225625415449,-6.053771428571428,2.0462716610764,0.3428571428571428,0.4815939919779352,0.10292,0.1094413885575825,0.1530405714285714,0.1675408701489046,0.1892085714285714,0.1513510476681681,0.4660285714285714,0.202162498080757,119.35391428571432,28.89884712881796,0.0491865008571428,0.1606510669833423,3.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0
ENTP,NT,intp x entp playlist bc i want,6TNWxC7RKabVSsFsRllb4S,50,0.55352,0.1468253495323819,0.579632,0.2131582926620783,-8.59648,5.973949502871375,0.44,0.5014265364224069,0.049122,0.0278250385701183,0.2179019599999999,0.3093091362045923,0.1971,0.1226401954948719,0.382772,0.218652633878581,123.82376,33.91625891272653,0.1750860149999999,0.3031846530305802,2.0,2.0,1.0,4.0,2.0,2.0,4.0,3.0,1.0,0.0,5.0,5.0,1.0,0.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0
ENTP,NT,Entp🎸🎶,7JpQxei1Q2VOIvrl2LuBmO,50,0.58164,0.1572795197949777,0.61728,0.1684904212138373,-7.14558,2.924015544013515,0.46,0.5034574339058886,0.100062,0.1069213880400369,0.1574297999999999,0.2111835157208158,0.213782,0.1348208920556969,0.454514,0.1938381967897294,122.12582000000002,30.70926815075041,0.0429314756,0.1466381889048197,1.0,3.0,1.0,2.0,3.0,0.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,4.0
ENTP,NT,"oh, to be entp",6gKN9GUi1mZogHojdwbLrI,50,0.5761799999999999,0.1605438067243673,0.6555259999999999,0.2142499806491549,-6.63952,2.958334137135083,0.44,0.5014265364224069,0.0953219999999999,0.0855507733000987,0.23672958,0.2903013367933459,0.178556,0.0975255950915408,0.489468,0.2206524559166311,123.74244000000004,30.03728706407748,0.023283601,0.0546335052972049,1.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0
ENTP,NT,entp'nin kavgaya giderken dinlediği şarkılar,6vi4oPvHZD80DxLkLlY1eQ,50,0.64412,0.1231946593064514,0.72088,0.1646265582263973,-5.82896,2.936687478317385,0.56,0.5014265364224069,0.105296,0.0923012790058862,0.102192714,0.1485943566417634,0.194898,0.1268409424822912,0.594552,0.2326281487872077,126.24902,28.2142890961951,0.0443667638,0.1525557723836188,0.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,0.0,5.0,3.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0
ENTP,NT,Entpannt,5YQ1gmI6HTvUb0cMR1Dbkv,50,0.7122800000000001,0.1394353101416054,0.63806,0.174310701955808,-7.22976,2.6161715724177057,0.52,0.5046720495044484,0.1168739999999999,0.1132829126117258,0.2236893599999999,0.2439928581655335,0.175096,0.140213376694528,0.58648,0.2378161903827476,120.68562,26.355767775117428,0.030678163,0.136409986486571,2.0,4.0,1.0,4.0,2.0,0.0,5.0,0.0,2.0,0.0,2.0,1.0,8.0,3.0,1.0,3.0,1.0,1.0,0.0,4.0,3.0,3.0,0.0,0.0
