mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ENFJ,NF,enfj vibes,6ybQAXCQXYKqPsceKl5qtt,50,0.6289399999999999,0.1119772954391985,0.6875999999999999,0.1504256545640417,-6.3749,2.2404925866006,0.58,0.4985693819032897,0.076112,0.082461403810312,0.1108451999999999,0.1347120081801112,0.178704,0.1172832868375906,0.47005,0.2117189437023739,128.48708000000002,24.238065385383432,0.0373539448,0.1615865399463894,3.0,4.0,2.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,0.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0
ENFJ,NF,Playlist for ENFJ INFJ ENFP INFP,6KSTM9BwJ4FSFVb2tuqfvI,50,0.63174,0.1438866915319134,0.409356,0.1675763184769426,-9.084,2.912359727724834,0.74,0.443087497693452,0.074106,0.0541427870711947,0.564242,0.2909899669285201,0.158446,0.1203862579621214,0.448658,0.2083126556062168,110.62045999999998,30.30219085917245,0.083900977,0.2316387117476515,1.0,4.0,4.0,2.0,1.0,4.0,0.0,4.0,2.0,2.0,5.0,0.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,3.0,1.0,4.0,1.0,2.0
ENFJ,NF,enfj<3,52LH5NUowlMY06MbN4oIxH,23,0.6429565217391303,0.1331583057392658,0.6847391304347825,0.13434765532051,-5.743565217391303,1.3505267937191616,0.6086956521739131,0.4990108793478453,0.100691304347826,0.0983318218771313,0.2312974347826087,0.245202044067712,0.178095652173913,0.1384779715933216,0.4518695652173912,0.1657800581131041,123.8264347826087,32.56018945084777,0.040061072173913,0.1693959882652894,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ENFJ,NF,enfj,4Ik5csX3B8gNAjffpWt3UY,50,0.61244,0.1273685252505099,0.6606199999999999,0.1754682237643625,-5.469659999999999,2.176565921025924,0.62,0.4903143514780145,0.078234,0.0752234592425007,0.2180402,0.2624987979796774,0.140266,0.0811058029328836,0.492424,0.2193506954069446,122.11152,27.025829503205383,0.0001924647999999,0.0008583763915749,2.0,4.0,1.0,6.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,4.0,2.0
ENFJ,NF,💚 ENFJ ⚔️,2eenm1fzP6d7Z0CJvW7cay,50,0.684,0.1242122935846167,0.69124,0.174900853546884,-6.65082,2.856768566126448,0.52,0.5046720495044484,0.104522,0.1077086703538195,0.2139336999999999,0.2186023224260232,0.21133,0.1657826844679134,0.69696,0.2192999027517768,118.46584,26.59271351740502,0.0109542614,0.0537474160539223,3.0,1.0,1.0,2.0,1.0,8.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,6.0,1.0,1.0,4.0
ENFJ,NF,enfj | gryffindor | reader | me ,6idJpnfu4Z4m6bSSFzWe6t,50,0.6269600000000001,0.1220458194319507,0.7061399999999999,0.1433166908547327,-5.4042,1.724699358598773,0.64,0.4848732213850611,0.07498,0.0740329739000791,0.1005827399999999,0.140826483188849,0.1754659999999999,0.1201243702610433,0.53728,0.1795394379959967,121.94058,27.461578011862912,0.0116098288,0.077738570862559,0.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,4.0,1.0,5.0,4.0,7.0,0.0,4.0,1.0,2.0,0.0,5.0
ENFJ,NF,🖤ENFJ-T..!!!🖤,1uJRHLMj0bGpgosa88UjXy,19,0.4816842105263158,0.1012779742598332,0.6472631578947369,0.2239927682625448,-7.152157894736843,3.2899984846865453,0.5263157894736842,0.512989176042577,0.0448368421052631,0.0389258299066073,0.0956886789473684,0.2154876321727913,0.1360368421052631,0.0674565721246419,0.3666315789473684,0.2149923023237798,113.81463157894734,36.37210238051888,0.0523374,0.1591873279753273,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
ENFJ,NF,Tangerine Listens 🎶,5KbZiUIOoVSucAmPBoXNPo,50,0.7118799999999998,0.1354685956528791,0.610164,0.1666166255271088,-6.22314,1.9908366409679144,0.64,0.4848732213850611,0.08089,0.0651305384655794,0.28897606,0.2704122447268629,0.16384,0.1350074253437905,0.6174399999999999,0.2272562304662168,117.67618,23.554808494484448,0.0037261356,0.0250116249406737,1.0,8.0,5.0,4.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0
ENFJ,NF,enfj,2g6sy4ntUWqQ27RSXWcAPc,34,0.6552058823529412,0.0998343413957598,0.7014117647058823,0.1468856734658582,-5.995823529411765,2.003784396413042,0.7058823529411765,0.4624972900628804,0.0692970588235294,0.0569499912751429,0.151952,0.1742148581152629,0.1716117647058823,0.1120717323446498,0.5479147058823529,0.2232661927105997,113.76214705882352,22.82566130494408,0.013650304117647,0.0436689671861661,1.0,3.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0
ENFJ,NF,ENFJ,5OYZ6MADiIMGjwMnRoH4wS,50,0.59952,0.1506946148300446,0.71638,0.1326580520568208,-6.20106,2.0077271890658563,0.58,0.4985693819032897,0.242728,0.1342034900850958,0.1907634,0.1797184497088574,0.2466259999999999,0.1995164110788782,0.54291,0.214273611324876,114.11458,36.69432065720074,0.0098439568,0.0643290124638344,2.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,5.0,0.0,5.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0
