mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,Bminor_count,A#/Bbminor_count,BMajor_count
INFJ,NF,INFJ,01PJMGPTwydYcE07CmGO7X,50,0.5648200000000001,0.1377253537342507,0.6220800000000001,0.1587315587874763,-7.138999999999999,2.666553282453449,0.32,0.4712120714991611,0.068716,0.0560376744990841,0.160150684,0.1979488174424268,0.183566,0.1266277746397056,0.429,0.2151735995869002,125.16488,29.06818587786661,0.0721469505999999,0.1809942942998275,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,4.0,1.0,2.0,3.0,5.0,1.0,2.0,4.0,5.0,5.0
INFJ,NF,pov ; you’re an infp,4Ap1GBkipIaX3dHPiMk96v,50,0.5604,0.1414500705159937,0.445862,0.2425916699362304,-10.572239999999995,5.685179014861398,0.82,0.3880879344916035,0.065178,0.0586843173084528,0.4796774,0.3614064802215965,0.169092,0.1266345099819451,0.351366,0.1951161220025298,114.69308,30.03414246326459,0.069537275,0.2062770291685677,2.0,12.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,7.0,5.0,1.0,2.0,1.0
INFJ,NF,infj songs ♡,28nuegyX1rNkP16IKVHFSU,38,0.5216578947368421,0.1286533738837201,0.5565526315789473,0.1975246405933605,-7.996052631578946,3.264972140499231,0.5789473684210527,0.5003554924018236,0.0619973684210526,0.0631226497527356,0.3617889210526315,0.339950585059651,0.1401078947368421,0.0795889011058191,0.3826131578947367,0.2048526882328974,106.62489473684212,24.99350367032101,0.1069569439473684,0.2309547265232297,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
INFJ,NF,INFJ 4W5,0bfuJU7NagUVXgmLP7R3DT,50,0.5644081632653062,0.1235950913209721,0.6356938775510205,0.2327751243225988,-7.642326530612243,3.214956579461553,0.5918367346938775,0.4965869908241478,0.051404081632653,0.0300111712477181,0.2653746612244898,0.2996537643088386,0.1891428571428571,0.1406239355515269,0.470434693877551,0.2352968599725146,117.61530612244896,30.52329789289656,0.1595454414285714,0.2892528849828876,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,0.0,2.0,1.0,4.0,1.0,2.0,4.0,5.0,1.0,3.0,0.0,1.0
INFJ,NF,INFJ's depth,0wwNS3TP0JRMBCfpTyiKE6,18,0.5354444444444444,0.1178160191955447,0.3594944444444444,0.1421756182962061,-9.175111111111113,2.49160564552468,0.7222222222222222,0.4608885989624768,0.0516444444444444,0.0316564132006774,0.6155444444444443,0.3260560673948076,0.1876444444444444,0.1343003929836229,0.3361111111111111,0.1368867668114949,100.43555555555554,32.30458636938,0.0011983772222222,0.0038840364222315,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
INFJ,NF,infj,7nruKMLe9ZgTIFkbYShBP6,47,0.4568297872340425,0.09744749291819,0.3725106382978722,0.0944862245171049,-7.694127659574466,2.062319089478399,0.9574468085106383,0.2040297088885788,0.0336063829787234,0.0054883435473389,0.7457021276595746,0.1365939579307984,0.1462425531914893,0.0798710421069648,0.278,0.1073711563567762,133.7694255319149,28.22790613124036,7.064255319148935e-05,0.0003558289292468,0.0,5.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,5.0,2.0,0.0,0.0,8.0
INFJ,NF,infJ,0odnHyApyCUuAffbnXgoY3,50,0.5210999999999999,0.122287424887902,0.5502400000000001,0.1912279929982074,-7.345080000000001,2.7525946931013645,0.78,0.4184519575964802,0.043988,0.0392217330425,0.3738718799999999,0.2991783972399868,0.146816,0.0872405526374621,0.3398159999999999,0.1938935983829212,110.24534,31.07102328314329,0.0519756442,0.175466429867283,2.0,4.0,1.0,4.0,1.0,6.0,0.0,1.0,2.0,5.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,4.0,0.0,0.0,3.0
INFJ,NF,pov: you’re an infj ,1qEWVe7gE8fa1nnOHyuaZM,50,0.5109400000000001,0.1390092362222814,0.574222,0.2297565235599793,-7.91078,4.392979470027334,0.56,0.5014265364224069,0.047294,0.0261613627710946,0.28049018,0.3465989102714766,0.17194,0.1331157697767823,0.365496,0.2363163764523987,118.56768,26.885038564789227,0.0836869558,0.1753074321858905,0.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,4.0,3.0,1.0,1.0,3.0,0.0,0.0,5.0,5.0,3.0,2.0,1.0,2.0,0.0
INFJ,NF,entp x infj,4ovXM2PgaToExxIcOCUDr2,50,0.4827999999999999,0.1457564364805554,0.612556,0.2776388155536629,-9.52602,5.694494457108621,0.72,0.4535573676110727,0.051092,0.0241185663093046,0.27934461,0.3632873809311965,0.1890599999999999,0.129227006402197,0.4377379999999999,0.252016632015121,128.38728,34.66313932462505,0.1554771345999999,0.3024399474406607,1.0,9.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,5.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
INFJ,NF,INFJ,1SNQ3oHgVOdVwSgFvCFH04,50,0.64666,0.1560727996016929,0.6878200000000001,0.1602714139279022,-6.97588,3.0190053547890403,0.56,0.5014265364224069,0.0991499999999999,0.1242707072220536,0.15935006,0.2324635317102457,0.169222,0.1633381746623881,0.581162,0.2213639950905498,127.11404,28.76160007041702,0.1030447993999999,0.2487240331520141,1.0,3.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
INFJ,NF,Lofi for INFJs 🍊,0W3xlxQD07aJI96Y6eBLnV,43,0.6505116279069768,0.1029834411315082,0.2704893023255814,0.1403883072290727,-14.69293023255814,6.012641248297698,0.5813953488372093,0.4991687442297913,0.0699767441860465,0.0655284992060317,0.7425744186046512,0.2358732055404256,0.155906976744186,0.1370573505183814,0.2711999999999999,0.1712178854142121,106.27686046511629,33.4856605206449,0.8137209302325582,0.1886284235488984,1.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0
INFJ,NF,INFJ,43Hqm5oYtKuKlVvZsptXx5,50,0.5605,0.1612840376984856,0.42013,0.1746998828895791,-10.05038,4.076278964888423,0.82,0.3880879344916035,0.0805579999999999,0.0743272468787283,0.56033,0.3038235082801748,0.167592,0.1403067075359971,0.291498,0.1936657477011695,115.33536,31.66220343626109,0.0469611814,0.1674311615375283,0.0,7.0,0.0,4.0,0.0,3.0,0.0,1.0,4.0,6.0,0.0,2.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0
INFJ,NF,INFJ,62Z75GHgU6dUvXRu4YbWX4,50,0.6558200000000001,0.1620704923476075,0.6126999999999999,0.21016924666777,-7.348700000000001,3.2156781507774927,0.74,0.4430874976934519,0.077844,0.0673748307634844,0.3582798,0.2876425111459127,0.194172,0.1479708797054891,0.5587799999999999,0.2395389525649604,118.27666000000004,30.15182524722481,0.0128383166,0.0512250535038375,0.0,4.0,1.0,4.0,2.0,2.0,1.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,6.0,1.0,2.0,1.0,4.0,4.0,3.0,0.0,2.0
