mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_EbMajor_count,Gminor_count,D#_Ebminor_count
ENTJ,NT,— entj • intj —,7iD90rzUvSAO4ZyyveGiQg,50,0.5255,0.1661723042323165,0.62292,0.1826443896242764,-7.625360000000001,2.9541224378754487,0.52,0.5046720495044485,0.070012,0.072932690914854,0.298235018,0.3085001670208655,0.234224,0.1888914130998472,0.4190500000000001,0.2447310887818025,125.97246,29.39530630116284,0.0684033396,0.1570422708242976,2.0,3.0,0.0,3.0,1.0,6.0,1.0,0.0,4.0,2.0,0.0,4.0,2.0,2.0,4.0,3.0,1.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0
ENTJ,NT,ENTJ💜,7GMmZyiN26Jx1KKh5xJgBs,31,0.6503225806451612,0.1401485847465168,0.6835806451612902,0.1581553612103298,-6.026806451612903,2.3477833150918457,0.4838709677419355,0.5080005080007621,0.0937064516129032,0.0698863312123521,0.2084970967741935,0.2248384374640828,0.164583870967742,0.1075267504601349,0.5136741935483872,0.2172038765273185,127.81309677419355,25.840464276472588,0.0095104251612903,0.0408411525459847,3.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
ENTJ,NT,An ~ENTJ's~ POV,0hoj9LPv5Pu8CtHhxzRByd,50,0.6307800000000001,0.1440578526077602,0.7456,0.1541112770509858,-5.595060000000001,2.1562442064755056,0.42,0.4985693819032897,0.085784,0.0543299757904212,0.0898402599999999,0.1428514260118704,0.1810599999999999,0.140696612378173,0.465766,0.1997811533367735,130.5559,31.27211071777692,0.0375415085999999,0.1361173349330116,2.0,3.0,1.0,3.0,2.0,6.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0
ENTJ,NT,ENTJ & PREFE,6F4ucb442XGlcsNvFH7m6z,50,0.6478,0.1484388144410115,0.7006600000000001,0.1302069953291798,-5.712299999999999,2.041468841450255,0.48,0.5046720495044484,0.0832499999999999,0.0876953382280881,0.17017264,0.2001692247557978,0.192642,0.1353332682902561,0.50384,0.2057939686944697,119.81308,26.16254348463288,0.077429104,0.2118031021093329,1.0,5.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,6.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0,0.0
ENTJ,NT,An ~ENTJ's~ POV,0hoj9LPv5Pu8CtHhxzRByd,50,0.6307800000000001,0.1440578526077602,0.7456,0.1541112770509858,-5.595060000000001,2.1562442064755056,0.42,0.4985693819032897,0.085784,0.0543299757904212,0.0898402599999999,0.1428514260118704,0.1810599999999999,0.140696612378173,0.465766,0.1997811533367735,130.5559,31.27211071777692,0.0375415085999999,0.1361173349330116,2.0,3.0,1.0,3.0,2.0,6.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0
ENTJ,NT,ENTJ & PREFE,6F4ucb442XGlcsNvFH7m6z,50,0.6478,0.1484388144410115,0.7006600000000001,0.1302069953291798,-5.712299999999999,2.041468841450255,0.48,0.5046720495044484,0.0832499999999999,0.0876953382280881,0.17017264,0.2001692247557978,0.192642,0.1353332682902561,0.50384,0.2057939686944697,119.81308,26.16254348463288,0.077429104,0.2118031021093329,1.0,5.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,6.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0,0.0
ENTJ,NT,Entj vibes ❤️‍🔥,4KExW8Tq3PUEl0BXl4eqNP,49,0.6946530612244899,0.1048778160171015,0.680469387755102,0.1335554039279854,-5.870489795918367,1.96857878221033,0.5102040816326531,0.5050762722761052,0.0973367346938775,0.0834942180979157,0.1515167959183673,0.1789720771320416,0.1668877551020408,0.1244056999508949,0.4278367346938775,0.1955508615572488,123.742,26.25149348449849,0.0056599944897959,0.0314477841969939,2.0,2.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0
ENTJ,NT,ENTJ INTENSIFIES,469ilpM4WpkGK9NmKdE5CJ,50,0.56038,0.1657316357912417,0.81306,0.1488007035862233,-5.757820000000001,2.5369958104910184,0.64,0.4848732213850611,0.10453,0.0770428220444411,0.0805451084,0.1489958173470342,0.259108,0.1833894938793008,0.53638,0.2010999233805757,125.80506,28.48808795412638,0.0350932948,0.1471865911508713,3.0,2.0,2.0,4.0,7.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
ENTJ,NT,ENTJ,0uSG89SVnMq5v71qqku0Jv,4,0.4825,0.1749847612412768,0.5922499999999999,0.057418783221753,-7.639749999999999,0.7712705426761739,0.75,0.5,0.10895,0.1120241789377037,0.1683,0.1302258038946199,0.246,0.1098999545040852,0.263925,0.1966542376016003,149.84375,43.5833981647064,0.0003897124999999,0.0007602506695985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ENTJ,NT,entj ,4fxxYrxjrEK5xdJ1UkRsuf,33,0.6250303030303029,0.1461192759461608,0.6153030303030304,0.1793539595409878,-7.844787878787878,3.366512436461284,0.6060606060606061,0.4961976634488731,0.0819393939393939,0.0789871545703553,0.2654281818181818,0.2619412008382624,0.1990424242424242,0.1462422263538797,0.4558181818181818,0.2144780662657394,117.32130303030304,27.301481670512004,0.0298960472727272,0.0629714197926872,0.0,5.0,1.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0
