mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,Eminor_count,Aminor_count
ESFJ,SJ,m b t i,27E8ft3XkWDgnCixcUTcGU,16,0.5524374999999999,0.0970930610290972,0.6646875,0.1924209686252168,-7.3635,2.612831873657393,0.75,0.4472135954999579,0.0406187499999999,0.0095584670144676,0.216543875,0.3089696589958038,0.1548999999999999,0.1037631276835209,0.4661875,0.2141184154465312,137.65949999999998,25.61835960660505,0.0472863643749999,0.124000998785976,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ESFJ,SJ,:),1qDExCtVuvBO7OH3wxGjQh,23,0.6806521739130434,0.0972511316576606,0.6909130434782609,0.1379452833038185,-6.682782608695652,2.5873139978209365,0.5652173913043478,0.5068698018697018,0.0936782608695652,0.1097286320326059,0.1519173913043478,0.1743883294994612,0.2256565217391304,0.1583576126312242,0.621391304347826,0.2470417224847279,122.19656521739132,33.7936363574108,0.0182250260869565,0.0780677691340259,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0
ESFJ,SJ,wHat HapPeNd with Caroline,3Mf5rokt0kQDej4wvLITgW,23,0.6070434782608695,0.1470922648794007,0.564913043478261,0.2220241414071653,-8.17204347826087,3.974235529441889,0.782608695652174,0.4217411678366499,0.0692565217391304,0.1015036489540555,0.3713143043478261,0.321789604700654,0.2176347826086956,0.1339842413009681,0.4658260869565216,0.2339601077444833,113.79847826086956,23.63926026928617,0.0205586808695652,0.0960197725719929,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0
ESFJ,SJ,Charlotte vibes (oc),5t5uaQ9FYs7jVhbtiZyxjT,24,0.6774583333333334,0.1282622921193526,0.6939166666666666,0.1746046258331057,-7.119041666666667,2.905541234908502,0.4583333333333333,0.5089773777040516,0.1175375,0.1016089768907383,0.15160975,0.2220130009820713,0.1651791666666666,0.1082938071984554,0.537875,0.2070751412662437,129.60383333333334,30.361109113135345,0.1253447233333333,0.2886571824450237,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0
ESFJ,SJ,yatora yaguchi,3j4eojVYzj3Z7rmaTAcnYA,28,0.5971428571428572,0.1458590680241298,0.5882142857142858,0.1903652156879385,-8.110964285714287,2.844921238018568,0.4642857142857143,0.5078745001833699,0.072025,0.1063349203120864,0.2256439285714286,0.2481073284083334,0.1676214285714285,0.1036616017238672,0.5603214285714286,0.2338161755915402,115.71157142857145,34.22649649724889,0.1351551089285714,0.2618520079458748,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,2.0
ESFJ,SJ,"dj tanner, my whole personality.",2OSOwqjWiBqJrRS7JBr34q,39,0.6183846153846155,0.1118091925852195,0.7076923076923078,0.1608139091009353,-7.06228205128205,2.8189471527385046,0.7692307692307693,0.4268327949183541,0.0547692307692307,0.0260626285567563,0.189187564102564,0.2199927870942943,0.1915461538461538,0.1357018458668117,0.6729487179487178,0.2103024074139489,118.81728205128202,28.79418752744592,0.0004867046153846,0.002022183277281,0.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,5.0,1.0,4.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0
ESFJ,SJ,people pleaser,0silMfHji0MvT6QdX8tp6N,43,0.5076279069767442,0.1433714827286119,0.5709767441860465,0.2229830752035735,-7.483883720930233,2.711210766334957,0.6744186046511628,0.4741373235154427,0.0437325581395348,0.020990516236423,0.3688974418604651,0.3558602711277415,0.1905093023255813,0.139995302325868,0.3496581395348838,0.2188394380237517,112.13516279069768,29.01785700132004,0.0571535046511627,0.1583527292297918,2.0,5.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,5.0,2.0,0.0,2.0,1.0
ESFJ,SJ,Mbti edge,4DjK4n3nbkuaibAt7ctnzH,16,0.5853125,0.1819082987844883,0.694375,0.1736363537204503,-5.307062500000001,1.531873513871168,0.5625,0.51234753829798,0.09024375,0.0860535567248675,0.15391159375,0.2441732762062779,0.1578,0.1065317042011438,0.5220625,0.2437776223665057,122.609875,33.19806081058551,0.0009960725,0.0029272390728113,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
ESFJ,SJ,ESE,6bfiJUhwQULoJOD0ID4iYm,49,0.605,0.1240270467814715,0.608530612244898,0.1803026508911262,-7.190204081632653,2.9162900017230213,0.5102040816326531,0.5050762722761053,0.0661061224489795,0.0741872052315493,0.2567956122448979,0.2790844056421235,0.1810591836734694,0.1759833869033847,0.5223755102040816,0.2354914564361555,123.0781224489796,30.61922340052668,0.0322548730612244,0.1138953724415901,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,0.0,0.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0
ESFJ,SJ,me fr,6IANvnENvZ4HRYQ96T4HJA,7,0.6762857142857143,0.0827641514298597,0.6797142857142857,0.1032548857370508,-4.941142857142857,0.9323939490314574,0.5714285714285714,0.5345224838248488,0.0524285714285714,0.0337942655039635,0.0915694285714285,0.1182368641778825,0.1245285714285714,0.1000308738054692,0.6127142857142857,0.2605997661074125,126.28885714285714,21.324224662955288,7.787142857142856e-05,0.0001963358496241,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
ESFJ,SJ,jade,2Ut7Jog1ujsJ37aBQlHRJ5,45,0.6407333333333334,0.145204777031361,0.6783333333333333,0.1824822531844472,-5.763733333333334,2.075266394728857,0.5555555555555556,0.5025189076296063,0.1069777777777777,0.077171270233779,0.1488071333333333,0.165349965041451,0.1925044444444445,0.1268794255037499,0.5557111111111109,0.2316915683150399,123.6503777777778,27.039629531392432,0.0001314115555555,0.0005088235211694,2.0,4.0,2.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,0.0,4.0,1.0,2.0,1.0,2.0,0.0,2.0
