mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,D#_EbMajor_count,Aminor_count,A#/BbMajor_count
ISTP,SP,alexander lee,0qQZIPOkUz5OHHKCcVNr73,50,0.6079199999999999,0.1394686476361959,0.6558600000000001,0.1677402036435133,-7.196000000000001,4.034491384882843,0.56,0.5014265364224069,0.0763339999999999,0.082837260200655,0.2178852379999999,0.2368481695678227,0.1985479999999999,0.1330263319644586,0.488766,0.2509652611215264,124.2635,28.27127784645449,0.076785786,0.2206281897786834,2.0,2.0,4.0,7.0,1.0,3.0,0.0,6.0,2.0,2.0,3.0,1.0,0.0,2.0,4.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0
ISTP,SP,ɪsᴛᴘ.,5mAnZDi79VNnqCSm6vxtYX,30,0.6194,0.1319141831803462,0.6458999999999998,0.1754065917056514,-5.751833333333333,2.1550036576228395,0.3,0.466091599699399,0.08012,0.0524059578081834,0.1579433333333333,0.1984239989366785,0.2083533333333333,0.1633550812638304,0.4747200000000001,0.1945720864553449,128.648,29.505857861413403,0.000831136,0.0041180963561959,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,4.0,0.0
ISTP,SP,istp,6WfsuUGMxb2vY2PSZ1anyp,9,0.567,0.0793536388579629,0.538111111111111,0.2098388932279026,-8.568555555555555,3.903032030073258,0.7777777777777778,0.4409585518440984,0.1108111111111111,0.1318566403754893,0.3380255555555556,0.3612620581071001,0.1626111111111111,0.0623517129765583,0.4368888888888889,0.2258857257798976,113.45222222222225,29.197376940308256,0.0633013255555555,0.1848113824619069,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
ISTP,SP,istp energy,3imMd94aL4yKS0i1iNcaZh,50,0.55498,0.1333972875531231,0.63406,0.1917412595458914,-7.76314,2.125852059763332,0.7,0.4629100498862756,0.039702,0.017921364402322,0.1969536906,0.2517729256552693,0.196084,0.1307795923666679,0.5338539999999999,0.2380714428957177,122.58343999999995,32.10767331210305,0.1101139969999999,0.2525797153522265,1.0,6.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0
ISTP,SP,Sometimes I ISTP 5w6 a little too hard on em,2KhfTq82YZygk9bt3KLvP5,50,0.4459599999999999,0.1888650268507829,0.43217,0.2753361146315684,-13.62252,6.0274345212333165,0.52,0.5046720495044484,0.0578279999999999,0.0686342243419448,0.5073486372,0.387721734628639,0.147582,0.0900303955248856,0.278834,0.2316083672046061,112.72986,29.97970544300574,0.6967355940000001,0.3227370548048537,2.0,4.0,0.0,4.0,4.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,5.0,4.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,4.0,1.0
ISTP,SP,ISTP,6dyHOf8NxRGgg5wY0m3ond,21,0.5664285714285713,0.1040690018346344,0.6691904761904762,0.1983921921466716,-6.042571428571429,2.465200753923067,0.4761904761904761,0.5117663157191589,0.0544714285714285,0.0484364546891816,0.2675766666666667,0.3067521882616867,0.2124238095238095,0.1090293167215217,0.4495714285714286,0.2157189308865987,131.00119047619046,24.65642233500036,0.0004769833333333,0.0021272442755342,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
ISTP,SP,_istp.🚶🏻‍♂️,6RSCdvcEirYDOli972HMmc,29,0.560896551724138,0.1097104451426527,0.7932758620689656,0.1108260852970365,-5.233965517241378,1.5890472321209748,0.5517241379310345,0.5061201788784758,0.0503551724137931,0.0194457227431876,0.0672623448275862,0.1202617696109128,0.1672793103448276,0.1266750155186501,0.4241310344827586,0.2122642509155717,128.86041379310345,13.465406024108171,0.0059077368965517,0.0101978512079163,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0
ISTP,SP,istp type beat,3jcPMXRsG2zH55OLkOJYk1,20,0.5745,0.1361927813219574,0.56635,0.2513404642061609,-8.84785,4.535635083193393,0.85,0.3663475485325231,0.08453,0.0793932988024609,0.3160055,0.3261951131079776,0.19722,0.1330736147677984,0.46285,0.2607814723399449,125.10935,24.91808529493768,0.079366733,0.2437856592863284,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ISTP,SP,it’s giving istp,7jYrO2x3GuomGghTWZq6bi,50,0.5763400000000001,0.1557366445284461,0.59088,0.1933813658372006,-7.51894,2.8018981278368265,0.62,0.4903143514780145,0.071738,0.0731359759318914,0.32572952,0.3132946838190445,0.197568,0.1530604914964761,0.441874,0.2217948167536282,113.32298,29.682044812042207,0.0331515726,0.0903554766227119,0.0,2.0,1.0,2.0,2.0,5.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0
ISTP,SP,WES ISTP 2020,1OS2IRSs9IZhriK5be6Nkf,50,0.6831799999999998,0.1296505019391025,0.7937599999999999,0.1464179870739094,-6.590179999999999,2.5196104306104186,0.6,0.4948716593053935,0.074256,0.0721241536150953,0.17288556,0.1736154553966604,0.1917019999999999,0.2132006552139872,0.75,0.2040466133219644,127.63292,24.882822863713407,0.0095596632,0.0400565425580359,2.0,7.0,0.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0,0.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0
ISTP,SP,istp x infj,1NIq5vOXc4RpS9WfyLhZTJ,50,0.51134,0.1414324112032864,0.578152,0.2128026682355352,-8.95986,4.4154906862553975,0.8,0.4040610178208843,0.046636,0.0212715270073516,0.273070102,0.3064809821037371,0.15068,0.0944905135072148,0.42949,0.2365059694202845,130.97422,32.19080363686727,0.112396842,0.2413406744573254,1.0,3.0,0.0,6.0,1.0,5.0,0.0,2.0,6.0,2.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,3.0
ISTP,SP,istp boy.,3XVcthn1REUCrDS5kjauWG,50,0.6074,0.1285631743382154,0.7369,0.1550406464151137,-5.76076,2.0053340254105767,0.52,0.5046720495044485,0.0865299999999999,0.0968536646025268,0.09136788,0.1352417180702669,0.190294,0.1358156920542072,0.50082,0.2365846864815029,130.37062,24.923854733387863,0.015793116,0.0481823037914629,0.0,3.0,2.0,4.0,0.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,0.0,2.0,2.0
ISTP,SP,ISTP - Taylor's Version,6SxQJMxmo6jSMrfECfcspv,38,0.5570263157894736,0.103582970227711,0.5461315789473683,0.165100979919601,-7.744105263157897,2.4863481066695226,0.9736842105263158,0.1622214211307626,0.0532368421052631,0.0435082621607053,0.4286328947368421,0.3387023456609931,0.1351815789473684,0.067634506047212,0.3828947368421053,0.1726863724061448,132.92834210526314,33.6081817654943,0.00485488,0.0290181141820607,1.0,7.0,0.0,2.0,0.0,6.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
ISTP,SP,istp,0eynp60KsF6OZAzdnyETGq,50,0.63364,0.1668149114853871,0.7278400000000002,0.1717399980749258,-5.969599999999999,2.670363309379762,0.62,0.4903143514780144,0.1255119999999999,0.1194675801638422,0.13843558,0.1732494139785818,0.2263899999999999,0.1727492405252214,0.502902,0.2398324657517647,124.69216000000002,29.4119872461858,0.08246806,0.2077813132744808,0.0,4.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,7.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0
ISTP,SP,Istp mind’s,0jGASBphjxz4uIjo6BjxNH,7,0.6132857142857143,0.0764585166080585,0.5994285714285714,0.1409868281588238,-7.58742857142857,2.842622313823562,0.2857142857142857,0.4879500364742665,0.0811857142857142,0.092622701115357,0.1761671428571428,0.2285921336291843,0.1078857142857142,0.0297554156735334,0.3788571428571429,0.2277355400249952,114.07971428571427,18.04102437699779,0.0015295714285714,0.0036544632007607,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
