mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,G#/Abminor_count
INTP,NT,An Intp playlist for Intps ✨,1ox0HO7ZkDPmogzS0z8Z4K,50,0.59338,0.1313909713296114,0.69644,0.162199695512938,-5.90986,2.2440460089320986,0.62,0.4903143514780145,0.074338,0.0774137674039538,0.161256588,0.2204709214817447,0.204028,0.1225260172954532,0.4889,0.2160208087104535,121.71518,30.82930837838221,0.082242862,0.2076659729053286,0.0,7.0,1.0,2.0,2.0,0.0,3.0,3.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
INTP,NT,intp?,1npLnOXpyFc7insichXGZm,28,0.5279999999999999,0.1285062327354274,0.6528214285714286,0.2209112530995914,-8.518178571428573,4.587026706262812,0.4642857142857143,0.5078745001833699,0.0562178571428571,0.0473635979424379,0.1944771571428571,0.2714739603328923,0.1517714285714285,0.1056902387207378,0.3637821428571429,0.2276683391081753,124.747,31.859413066831017,0.2269648039285714,0.3229114623424068,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
INTP,NT,INTP,2OATV6bmPYw1kMgtih4gzM,10,0.7018,0.0919925117725471,0.8709999999999999,0.0916963588275031,-2.7419,1.3680921387099627,0.4,0.5163977794943223,0.11291,0.0788941266649313,0.139098,0.2088966847670557,0.14641,0.1094148319216569,0.5229,0.2714919479059697,116.1478,17.95687290767026,0.0002704339999999,0.0004945953803127,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
INTP,NT,INTP.,2D6o7mb3GI10fHbRSDkYsS,36,0.5614444444444444,0.1572511084574958,0.7214444444444443,0.205016437591086,-6.8423333333333325,3.479626654850037,0.5,0.50709255283711,0.0817333333333333,0.0731579387353142,0.1780838444444444,0.2458076516185827,0.2107944444444444,0.2054042508176699,0.4364944444444443,0.2492519802981306,128.9966388888889,28.71757770838797,0.1412340108333333,0.2933879297535359,1.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0
INTP,NT,intp mind calm,2CmoMIyLJi5QpkjDgxWDfd,50,0.6500199999999999,0.1319173349689347,0.7211799999999999,0.1341831964296634,-5.17764,1.3324791495860764,0.62,0.4903143514780145,0.058842,0.0405531603237638,0.1222931599999999,0.1665940748771635,0.1614999999999999,0.1059803485827173,0.536558,0.2142974111950444,127.69491999999998,27.32341062901249,0.0083824738,0.0562589533095915,3.0,4.0,3.0,3.0,7.0,1.0,0.0,0.0,2.0,4.0,4.0,5.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0
INTP,NT,intp,0aJGhEHyNN13DAvYVx2QCr,50,0.56914,0.1615981422907972,0.562954,0.2109083166802531,-8.1444,3.852579284434928,0.72,0.4535573676110727,0.06657,0.083734788444937,0.3287329679999999,0.3143570112918902,0.1806499999999999,0.1164421013172798,0.453686,0.1896292925038486,123.58432,33.92329893254691,0.1107101874,0.2435635875592118,2.0,5.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,4.0,2.0,5.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
INTP,NT,INTP,32T2Q8bmQkEyAVxt9MeOGt,29,0.5386896551724137,0.1797287844519934,0.6722758620689655,0.2213518363781522,-7.389655172413793,3.164948975845334,0.7931034482758621,0.4122508203948855,0.0725724137931034,0.0599733982490316,0.2570487724137931,0.3385399186153711,0.1495241379310344,0.1062587161304642,0.4225620689655172,0.2209791949059476,119.33644827586208,35.54248283351127,0.2042434689655172,0.3384239580319718,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
INTP,NT,pov: you’re an intp,7JwcG9LakVjxOKIsQZXKQC,50,0.5723400000000001,0.1429710417375148,0.6470400000000001,0.1697093505775959,-7.103899999999999,2.6621289489459983,0.56,0.5014265364224069,0.090206,0.0848230124002505,0.2339577759999999,0.2745651364453613,0.178732,0.1250045769611036,0.4236600000000001,0.2291073645472705,111.54160000000002,25.567229988915933,0.1628442622,0.292569331695478,2.0,6.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
INTP,NT,INTP,0KolkDQ1zVzywYpapPWQmB,15,0.5706666666666668,0.1568655778805838,0.7384666666666667,0.1618777610538567,-7.362333333333333,2.3814698842361643,0.8,0.4140393356054125,0.05332,0.0383132614116835,0.1195686933333333,0.2031403066983418,0.1908266666666666,0.1612834482104926,0.4578666666666667,0.2519341939777887,122.79006666666668,27.91691451039947,0.3952667733333334,0.3991546849156879,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
INTP,NT,intp,170d2VthbicTv9kMR2EfZe,50,0.6793,0.1223229666222386,0.75922,0.1280024377956633,-3.50686,1.577598743764247,0.54,0.5034574339058886,0.0854999999999999,0.0598600578901511,0.1918404,0.1737307845744591,0.1730259999999999,0.1570515472508232,0.57594,0.1767454540015218,124.25914,28.87066086348364,1.11156e-05,7.376194838278393e-05,2.0,5.0,2.0,4.0,4.0,0.0,1.0,7.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
