mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,D#_Ebminor_count,Gminor_count,G#/Abminor_count,A#/BbMajor_count
ENFP,NF,Enfp/vibe,7yAlZNUIhnOf58HGIipn81,50,0.6440600000000001,0.1410104077791452,0.6521600000000001,0.200866323708082,-7.614759999999999,3.669461176927696,0.62,0.4903143514780145,0.119934,0.1394269241852344,0.288530972,0.2978835980705133,0.2094879999999999,0.1443419248923633,0.61422,0.2114721277528708,129.98266,31.43852220173492,0.0577123898,0.1456418345343098,1.0,9.0,2.0,7.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0,4.0,2.0
ENFP,NF,ENFP,1YiwP3bjTlOGR0Ki9YDQf0,50,0.62566,0.1468638978435337,0.7130199999999999,0.19719331548881,-6.0692,3.0785365592987155,0.58,0.4985693819032897,0.07586,0.0625464562039566,0.181762768,0.2392315935405617,0.212902,0.1649944185697918,0.56504,0.2473077864210704,119.10161999999998,28.22399652552878,0.0089422798,0.0332897394886363,1.0,4.0,4.0,4.0,0.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0
ENFP,NF,ENFP,4h9NBL7Vw9AhB3eEffki8c,38,0.6752368421052632,0.1217466208445042,0.7994473684210527,0.1238308998176318,-4.565026315789474,2.2169432996545844,0.6578947368421053,0.4807829082199319,0.0802842105263157,0.0524133958857733,0.1123540131578947,0.1317221158899297,0.1937868421052631,0.1333380932797822,0.5847368421052631,0.1857546600791202,119.4843157894737,26.93245274416165,0.0039071021052631,0.0196020813521,1.0,2.0,1.0,6.0,1.0,3.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
ENFP,NF,ENFPVTO,5rtiCyQekEQdfQb25oYm9I,50,0.65,0.1359672829794591,0.66822,0.2044632884567071,-7.76568,2.775874691637479,0.6,0.4948716593053935,0.087804,0.0701674235711433,0.215871248,0.2525764516707959,0.251104,0.2110851389890837,0.510984,0.2613637697672322,112.80836,25.82177423974122,0.1327291224,0.248204355868763,3.0,4.0,2.0,7.0,2.0,5.0,0.0,4.0,1.0,0.0,2.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
ENFP,NF,ENFP,4n933q03yMIJd2OqAnJlt0,48,0.5957708333333334,0.1598182797287625,0.7159374999999999,0.1856362728506267,-6.559437499999999,2.4838210175200763,0.625,0.4892460547900816,0.0571270833333333,0.0543460963368735,0.19895091875,0.2425698459186116,0.1838604166666666,0.1528166301237397,0.543875,0.2177649157018603,124.97041666666668,27.05850899466163,0.1140467339583333,0.254015243208636,0.0,6.0,3.0,0.0,2.0,6.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,6.0,1.0,2.0,4.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0
ENFP,NF,no context enfps,2wn36yG8TFYHszrrGCvRWd,43,0.5995581395348838,0.1518983529685279,0.7050697674418605,0.193931798928538,-6.770697674418603,3.879414754185799,0.5813953488372093,0.4991687442297913,0.0589744186046511,0.0511203812351797,0.2060896302325581,0.2641682491708525,0.1863651162790697,0.1551940933518273,0.570093023255814,0.2223764305292447,124.45493023255814,24.89016262587764,0.05003929,0.1495571905608689,0.0,4.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,0.0,4.0,3.0,2.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
ENFP,NF,enfp vibes,2CgEfQD5oXvXlqvh73tlEN,20,0.6104,0.1311304693806897,0.7872,0.219633091169892,-6.5063,3.7444716035074537,0.65,0.4893604849295928,0.09756,0.0867736037962552,0.189783025,0.2352390856934859,0.244835,0.2674326718515974,0.6277999999999999,0.2603001506358623,129.73,25.087303043571666,0.0478711795,0.106267451891982,1.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
ENFP,NF,Enfp,2fTFc0c9fbCl1oP5tTyIgN,50,0.64202,0.143193246049825,0.70516,0.1565581798357064,-6.27116,2.502112954921035,0.46,0.5034574339058886,0.077966,0.0585202759559384,0.178229706,0.2209052633003554,0.2180419999999999,0.1757884025916222,0.6107,0.2147261426248108,126.4337,28.9765242709772,0.026550425,0.0873291492085077,2.0,1.0,2.0,0.0,2.0,5.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,5.0,0.0,5.0,2.0,4.0,3.0,3.0,1.0,2.0,0.0,2.0
ENFP,NF,enfp edit şarkıları,3gl1joc12HVA6MOdKg2Dfw,50,0.66672,0.1436574781221227,0.61382,0.1604067139416272,-6.704419999999999,2.396363512763897,0.66,0.4785181206984066,0.06428,0.0509049895313187,0.329753,0.2661226739548082,0.178446,0.1297237413325183,0.518324,0.2212041254735784,117.02824,22.31738207670315,0.0567367739999999,0.1874723852933148,0.0,2.0,2.0,1.0,0.0,6.0,1.0,1.0,4.0,3.0,3.0,2.0,5.0,2.0,2.0,1.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0
ENFP,NF,ENFP tingz,6zv7CgLLvtxfEhmW3DlfPi,50,0.6872400000000001,0.141304210836054,0.6962400000000001,0.1596735905220524,-6.23176,2.657351148210932,0.5,0.5050762722761054,0.136648,0.120523162715805,0.20765332,0.2381741296034153,0.2211959999999999,0.1578131276192813,0.5886920000000001,0.2184775343048305,123.62872,25.64120338960204,0.0880325742,0.221613638114364,0.0,4.0,3.0,5.0,2.0,1.0,0.0,4.0,2.0,4.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0
ENFP,NF,enfp🤍,0kxrK1QK4QLLNWMgojhJ3N,50,0.6712040816326531,0.1241890325927637,0.5718163265306122,0.1815659514553627,-6.690673469387756,2.9607489437341914,0.6530612244897959,0.4809288065886704,0.0642959183673469,0.048892070587433,0.3849789795918367,0.278425422063109,0.1521448979591836,0.0924287407078747,0.5547857142857143,0.2005829005673215,126.29312244897956,25.10962389754893,0.0097404126530612,0.0415885952994736,0.0,6.0,1.0,6.0,1.0,3.0,1.0,2.0,2.0,0.0,3.0,5.0,1.0,4.0,1.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0
ENFP,NF,enfp,6AefA6J9XjnLncXX9QuHP7,50,0.5771200000000001,0.1248744087440804,0.7370319999999999,0.1951079506952235,-6.659560000000002,3.3832114568310176,0.78,0.4184519575964802,0.0632539999999999,0.0423742760337891,0.197948496,0.2744347179872057,0.19491,0.1481057251301465,0.60512,0.2223933488948198,126.22254,30.099793099302467,0.0183066266,0.0778480895788949,2.0,3.0,2.0,6.0,0.0,5.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,4.0,3.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
ENFP,NF,Enfp,44p05D8RAzT0Ao5CaLgv9E,50,0.62714,0.1459474339253272,0.7217999999999999,0.1396305621185814,-6.465839999999998,2.334011772350214,0.72,0.4535573676110727,0.052066,0.0301366724189947,0.2080160626,0.2492050718436322,0.190208,0.149830548968098,0.602074,0.2352546347848541,124.2188,25.37449811064933,0.0277821121999999,0.1093436658769897,0.0,4.0,1.0,6.0,1.0,0.0,0.0,3.0,5.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,8.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0
ENFP,NF,enfp mood jiji🧚🌈,5HLhmth0Pv7o2188jt6dCm,50,0.64468,0.0957303696507508,0.7801600000000001,0.1523045230946935,-5.501199999999999,3.017168925753182,0.64,0.4848732213850611,0.062076,0.0342619653462517,0.17332657,0.1985945438400584,0.2036039999999999,0.1561386941805526,0.6206339999999999,0.2085748234655215,130.37368,23.33434535443409,0.0283748796,0.1106242586542413,3.0,8.0,1.0,6.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0
ENFP,NF,enfpals,4izvGV92VlcQZ14mSsb6Am,40,0.64015,0.1204984413134641,0.669175,0.1861023825609758,-7.170975,2.5644777794729,0.8,0.4050957468334668,0.0586425,0.0366798616409604,0.25116675,0.2724489431480695,0.1759875,0.1283414659844028,0.6193850000000001,0.2225171633253465,120.00722500000002,23.858896689825567,0.0229161594999999,0.1280293274516964,1.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0
ENFP,NF,ENFP 엔프피 팝송,7ESDQORnBfSpaddqtfWXft,50,0.63528,0.1112830625027905,0.6118399999999999,0.149332304418224,-6.27842,1.9126563010960569,0.74,0.443087497693452,0.090006,0.1076344520559646,0.27043562,0.2489459870088116,0.1854279999999999,0.1224800625841293,0.5257799999999999,0.2217299598656907,118.40896,30.649352323256394,0.0003006146,0.001576177442026,3.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,0.0,2.0,4.0,4.0,2.0,6.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
ENFP,NF,ENFP-T VIBES,09m05fNgLQigIUq1op4fJK,50,0.60988,0.131149336908078,0.66066,0.1623265303300098,-6.23176,2.397823516169169,0.54,0.5034574339058886,0.053598,0.0397761619207139,0.24479962,0.2895836072346926,0.149286,0.1171039831142582,0.450614,0.2337524261666078,127.08798,24.25984134535164,0.0072203712,0.0282802979611582,1.0,4.0,1.0,4.0,2.0,5.0,0.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,1.0
ENFP,NF,ENFP,0H7ldjdGlZ6c02cIkKCfC3,18,0.6222777777777778,0.1590951641057328,0.6111111111111112,0.237498455447334,-9.308555555555555,5.487227020917302,0.5,0.5144957554275266,0.1441444444444444,0.1301112972543222,0.4603762222222222,0.3620767168146024,0.2092833333333333,0.1524474461036636,0.4651666666666667,0.2479388563145926,121.8342222222222,27.77855192633667,0.1859544472222222,0.3353019236509644,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
ENFP,NF,ENFP/INFP Villain playlist,2wC8dO68yLM8gAKguB4Cyn,50,0.5519599999999999,0.1399976617880543,0.624686,0.2086926145100022,-7.911560000000001,3.4855983713747936,0.4,0.4948716593053935,0.083248,0.09208414350861,0.200276188,0.2540597565470726,0.190806,0.1120936642058865,0.458812,0.203853458410993,123.34834000000002,29.498227756941738,0.0392861392,0.1613027832866954,3.0,3.0,1.0,3.0,2.0,1.0,2.0,7.0,1.0,5.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0
ENFP,NF,Enfp,01BumFBJuPjI0s6X1PKXO3,50,0.68024,0.1130893740835638,0.8531200000000001,0.0776253798176648,-3.2009399999999992,1.1028231750875588,0.64,0.4848732213850611,0.1009259999999999,0.0719082857193942,0.06604106,0.0817117531216949,0.196248,0.1476692004143735,0.64188,0.1589508510868202,131.04244000000003,23.53758757007132,0.0008056532,0.0055269418614335,0.0,5.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,1.0,1.0,2.0,6.0,2.0,5.0,1.0,4.0,1.0,2.0,3.0,0.0,1.0
ENFP,NF,🦄👽 ENFP FOREVER!!! 😈✨,4ComzY8ZYp57JIRBgoM8qx,50,0.5760400000000001,0.1164179592008458,0.7254799999999999,0.1780466850037268,-6.162100000000001,2.7311816030757807,0.82,0.3880879344916035,0.057488,0.036533304012104,0.17643454,0.2249681780425944,0.1950799999999999,0.1504432078078309,0.5531000000000001,0.2183147185293071,128.85494000000003,29.27330993494496,0.0065274404,0.0236663122127784,1.0,5.0,1.0,3.0,0.0,4.0,4.0,3.0,5.0,0.0,8.0,0.0,2.0,4.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
ENFP,NF,Flow state for ENFP,6bdGnHKEjSunEeVOUhHNi7,12,0.56875,0.1531654631139445,0.4202499999999999,0.1553612359514549,-12.234916666666669,5.3225627705993,0.4166666666666667,0.5149286505444373,0.048625,0.0272241912810847,0.4165583333333333,0.3329807842076103,0.1461666666666666,0.0778147255675397,0.3625916666666667,0.1897676591774715,119.09391666666664,30.92543208622471,0.4288041666666666,0.3995364961702118,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
ENFP,NF,Personality Change,0yIwzYGwMMwQtD3qaaBfx6,48,0.7064166666666667,0.1536836808475943,0.6950208333333333,0.0996332614681469,-6.146833333333333,1.5675702072347282,0.4166666666666667,0.4982237954520135,0.1871729166666667,0.11580639702241,0.1169851458333333,0.1351989630025995,0.18795,0.1685825121543018,0.5251666666666667,0.2056339790339459,119.02570833333334,28.421941423768,0.0194026920833333,0.1212427630101652,2.0,4.0,4.0,9.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0
ENFP,NF,ENFP vibes,78Eiqqj2QeumzEYiYYdAHx,30,0.6376666666666667,0.1244046050077184,0.6608666666666667,0.1762808756684535,-6.420533333333333,3.2541062413334103,0.6,0.4982728791224399,0.0612266666666666,0.0357948458371557,0.2731488666666666,0.2740891445244038,0.2020566666666666,0.1734630432334682,0.4686333333333332,0.2135568216937919,115.52916666666668,20.863843260338065,0.0374842663333333,0.1410897218489762,0.0,3.0,1.0,3.0,0.0,1.0,3.0,5.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENFP,NF,ENFP,3zUeCP3XUoy7QI1H9npduX,50,0.54566,0.1217048302832953,0.66982,0.1898914501949544,-8.14232,3.023474285098694,0.7,0.4629100498862757,0.0444199999999999,0.0347229442464612,0.2376451786,0.2945786761055547,0.129584,0.0746160248696413,0.5000620000000001,0.24800919411035,123.70248,30.981733812196435,0.2181762036,0.314526030304513,2.0,3.0,1.0,2.0,2.0,6.0,2.0,3.0,5.0,1.0,2.0,3.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0
ENFP,NF,Mood: ENFP 7w6,4Jd09T551pd0o0ucg7qi3s,50,0.65044,0.1321338467970556,0.73946,0.1818468979271141,-5.30466,2.849575518764656,0.56,0.5014265364224069,0.077348,0.0588914575420626,0.1907348599999999,0.2098757898137838,0.2027679999999999,0.1552792421308614,0.625156,0.2349371093961713,123.35944,28.652048837351217,0.0008291726,0.0032638818020533,1.0,2.0,2.0,3.0,1.0,4.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,5.0,4.0,0.0,7.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0
ENFP,NF,ENFP,3fHP3Go93FDb65a1dBd6ky,50,0.62568,0.1154256435272226,0.76748,0.1633778942407161,-5.2966,2.5497452773937708,0.62,0.4903143514780145,0.07176,0.0481975018405878,0.18555786,0.2450758026015965,0.191418,0.1649557908492269,0.58286,0.1996488764745522,128.55342,29.64276502917874,0.0281718424,0.1227908300998341,2.0,4.0,0.0,4.0,1.0,3.0,1.0,2.0,1.0,0.0,5.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,1.0
ENFP,NF,enfp+,6hm6yDJp7anWREQq9X8YDS,31,0.6874838709677421,0.1357300927006098,0.7199354838709678,0.1493470087824261,-7.608225806451613,2.7814256980869527,0.4838709677419355,0.5080005080007621,0.0522967741935484,0.0247568237579186,0.2242145161290322,0.2326869245694553,0.2085838709677419,0.1615211979829565,0.6807870967741936,0.2023265475115833,122.96590322580644,23.146558008128466,0.0304683770967741,0.1284812109421291,0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0
ENFP,NF,enfp ¿❄🔪,33lUvMibgPJgNw99lZw2Hx,50,0.59414,0.1652665145040777,0.58386,0.1950851211389426,-8.55096,3.33474562845963,0.58,0.4985693819032897,0.051288,0.0477341902024713,0.306898062,0.306099663078781,0.1795379999999999,0.1471612788607056,0.52274,0.2281714187327821,118.93716000000002,22.384114363794435,0.1116026168,0.2387479948641547,1.0,5.0,1.0,2.0,1.0,5.0,0.0,5.0,2.0,0.0,2.0,2.0,1.0,6.0,1.0,4.0,4.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0
ENFP,NF,Enfp<3,6CHVn7MRLfwekyrWZg1HJn,20,0.6679,0.174497745423529,0.6918500000000002,0.175791226354326,-6.26825,2.801317826629009,0.7,0.4701623459816271,0.049925,0.0215695173554571,0.2240922649999999,0.2639082525168533,0.184075,0.1043542038847551,0.6715000000000001,0.2282123895340524,119.9368,30.35714491394597,0.0765355064999999,0.2268035117839436,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
