mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,Gminor_count,A#/BbMajor_count,F#/GbMajor_count,Bminor_count
INFP,NF,INFP kpop songs <3,37cJsp4mfk9fx77yGrwqgj,50,0.6465000000000001,0.1072476154532498,0.7333600000000001,0.1624951817182056,-4.578360000000001,1.6610324642664087,0.6,0.4948716593053935,0.07298,0.0695395937724748,0.19027228,0.1959098928681078,0.170216,0.1188511697674955,0.52184,0.2039881309072182,117.79082,23.605052105981944,0.0002757743999999,0.0013179814663389,4.0,2.0,1.0,8.0,3.0,3.0,3.0,1.0,2.0,0.0,2.0,6.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0
INFP,NF,INFP's harmony,04Dn97kY0bDySI4GK5Yie1,19,0.5469473684210526,0.1637726994221668,0.3572631578947368,0.176843886617316,-10.953105263157894,4.551168005086861,0.8947368421052632,0.3153017676423056,0.0716684210526315,0.0753770525987818,0.6526526315789474,0.2768938893600078,0.1597947368421052,0.0862071759947074,0.3317421052631579,0.1986758479863604,110.30542105263156,28.191860187168665,0.01350632,0.0582408864500784,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0
INFP,NF,infp-t,1HBhOAfCqfBlf6bWXFHQBW,50,0.57512,0.1350270781611403,0.5871400000000001,0.1926121205417557,-7.152980000000001,2.709427113857489,0.76,0.4314191105869001,0.0544199999999999,0.0529511943169541,0.347586872,0.3047304471100058,0.1385519999999999,0.0862767337805316,0.402292,0.200661239395949,112.79906,25.9678273964189,0.0501229568,0.1461484905790827,2.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,5.0,2.0,4.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0
INFP,NF,infp 감성,2GOqlxxoapJhS2B0byqiSE,50,0.5583400000000001,0.11224055980485,0.4226399999999999,0.1427993826088523,-8.1648,2.916215894418166,0.86,0.3505098327538655,0.050484,0.0488527080694027,0.664306,0.2569967683509992,0.1571419999999999,0.0856160462978376,0.328194,0.1688914280034994,105.87642,32.07466469965836,0.0777927485999999,0.1982748070540803,3.0,3.0,0.0,2.0,2.0,3.0,0.0,5.0,1.0,1.0,0.0,7.0,0.0,3.0,1.0,5.0,0.0,3.0,0.0,0.0,1.0,5.0,4.0,1.0
INFP,NF,POV: You're an INFP,7sUvS7XVSZEwuz0SRd4Nk1,50,0.5468799999999999,0.1214011128617923,0.560424,0.2503367548739423,-8.131820000000001,3.9898460084344616,0.8,0.4040610178208843,0.0660259999999999,0.0703880202295584,0.345506,0.3447915029752305,0.204924,0.1510446123582333,0.4641399999999999,0.2147341982972608,125.74298,31.0545951461852,0.0780637778,0.231200578341704,3.0,3.0,0.0,2.0,3.0,2.0,1.0,5.0,0.0,7.0,3.0,6.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
INFP,NF,for the infp,3e7YeYnIdrDbv6nGk9jPnK,45,0.546088888888889,0.1621765062884239,0.5325333333333334,0.1721515716929812,-8.825066666666665,2.8454068681744875,0.7555555555555555,0.4346134936801765,0.0428355555555555,0.0287333758700381,0.3347546117777778,0.3160715916084884,0.1703822222222222,0.0946239838155808,0.4001488888888888,0.2102311872701338,120.51024444444444,31.294585983372706,0.2449191742222222,0.3343754398400118,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0
INFP,NF,infp type beat,7zdE6L3XUIvihsSVnJ6RYw,28,0.5922499999999999,0.1596578807603586,0.3303535714285714,0.269115722708642,-13.14267857142857,5.719592338837338,0.9642857142857144,0.1889822365046137,0.0731428571428571,0.0415391687408708,0.6542833214285715,0.3430371711432012,0.1429464285714286,0.0815475797589987,0.3835321428571429,0.2150629538385368,121.50674999999998,33.34429305784991,0.0613313,0.1989403311021949,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
INFP,NF,infp 4w5 internalized anger,6HRzhg9IDrUWJ0HJcs0DK7,50,0.5394720000000001,0.1398934157543827,0.64518,0.1978660328069866,-6.431620000000001,2.204114065069396,0.48,0.5046720495044484,0.0548319999999999,0.0342621731085821,0.2357297106,0.2920708125927443,0.186392,0.1278632174774022,0.372288,0.1873643843053488,119.29912,28.81722623400873,0.108509481,0.2454353759332798,1.0,6.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,4.0,3.0,0.0,2.0,6.0,2.0,5.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0
INFP,NF,INFP.,4RE1gc9w3NTDpn039lR8Zx,50,0.6315,0.147608866776425,0.5163,0.1632235539725458,-6.158240000000001,1.862264964597505,0.92,0.2740475156178697,0.118966,0.1206975738389643,0.540214,0.2725753765886584,0.182176,0.1240195188061055,0.48112,0.2304125528043034,113.67648,30.0941568036734,0.026488011,0.1399739213375345,0.0,3.0,1.0,6.0,4.0,1.0,1.0,5.0,1.0,3.0,0.0,6.0,0.0,3.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,0.0
INFP,NF,INFP songs,4PUbf7MbxOQQvJbfBshStB,50,0.5522,0.1539948316121853,0.516062,0.2218413120007273,-7.980860000000002,3.7593019272199992,0.84,0.3703280399090205,0.057694,0.0445004260928924,0.358674,0.3479130932299276,0.151544,0.1179766600230913,0.346746,0.2075063866339481,131.54356,32.97368802988597,0.0143512188,0.0928598646680062,0.0,9.0,0.0,2.0,4.0,1.0,4.0,5.0,0.0,4.0,1.0,6.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0
INFP,NF,songs infps would love,3jdYow8s08PgEKYwXL2uX0,50,0.55804,0.1447442445368057,0.5225380000000001,0.2187067619215375,-8.851759999999999,2.999645139284421,0.62,0.4903143514780145,0.058712,0.0665348570299809,0.377329838,0.3582438235429943,0.172154,0.1384855922808859,0.3931519999999999,0.2379786495654171,122.37043999999996,27.81180248520254,0.1101255918,0.227356934076448,3.0,3.0,0.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,0.0,3.0,4.0
INFP,NF,INFP (PDB),7LXjDCupL05i7hmiW2FHNZ,50,0.5477599999999999,0.1513247029215181,0.58494,0.2082785036964708,-7.1704,3.1063596517007315,0.66,0.4785181206984066,0.06798,0.0550646410492028,0.32040828,0.3026480250356192,0.1522899999999999,0.0971049658243856,0.3811759999999999,0.2135836055391471,125.40068,28.803915508663128,0.0498470618,0.1465357916147919,1.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,1.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0
INFP,NF,infp 4w5 ,6AaoEkxT57lpzjTOtRHUB9,50,0.4566200000000001,0.1491621347694501,0.68324,0.245568524872719,-7.824440000000001,3.726629768987261,0.7,0.4629100498862757,0.062628,0.039228238683429,0.1687894302,0.2782479099379487,0.184952,0.1517755340989462,0.36797,0.2130384800443146,127.72426000000002,26.573545243504324,0.1467433834,0.2823289970860696,0.0,6.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0
INFP,NF,infp vibes,0ya3L1AxnX6DpMyLbLkmx8,50,0.6018200000000001,0.1522480106099711,0.611582,0.2108370622358528,-7.971520000000001,3.471607686384403,0.6,0.4948716593053935,0.094124,0.0921598269201889,0.3089719999999999,0.3220954129396051,0.1946579999999999,0.1148164570618903,0.4419279999999999,0.2336455610098164,119.30158000000002,31.14284637423798,0.198788296,0.3182694140217744,2.0,6.0,1.0,3.0,5.0,3.0,1.0,0.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0
INFP,NF,Infp// the dreamer,4F5VDfTrksyhuT0wbuAE5V,50,0.59426,0.1609317018273939,0.5603708,0.224956857368025,-9.22238,5.529958969069467,0.72,0.4535573676110727,0.058218,0.0533580577087376,0.33048234,0.305012808593385,0.1712959999999999,0.1065725047054054,0.464196,0.2473571316859863,112.36852,24.844172843858377,0.1119063882,0.2234799197962204,3.0,5.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,5.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,3.0
INFP,NF,INFP,2NT2HDB31VqPnN1AELoP29,26,0.730923076923077,0.0899034696001986,0.7878076923076922,0.1089465994809454,-3.757653846153846,1.86811202966648,0.3846153846153846,0.4961389383568339,0.1070923076923077,0.0713814145170963,0.081745923076923,0.0968921581396237,0.1658538461538461,0.1183776574553466,0.6003461538461539,0.1543758899071205,119.22646153846154,22.15349282118876,0.0027541192307692,0.0132414707984579,1.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
